Id,Label,d0,modularity_class,Weighted Degree
Indian Subcontinent,Indian Subcontinent,cuisine,0,21403
Africa,Africa,cuisine,0,4010
China,China,cuisine,1,5715
Thailand,Thailand,cuisine,1,4345
South East Asia,South East Asia,cuisine,1,3702
Middle East,Middle East,cuisine,0,4915
Korea,Korea,cuisine,1,1600
Japan,Japan,cuisine,1,2842
Australia & NZ,Australia & NZ,cuisine,4,2235
Mexico,Mexico,cuisine,2,15020
Caribbean,Caribbean,cuisine,2,5623
South America,South America,cuisine,2,1449
Misc.: Belgian,Misc.: Belgian,cuisine,4,90
DACH Countries,DACH Countries,cuisine,4,2410
Greece,Greece,cuisine,3,3707
France,France,cuisine,4,11413
Misc.: Portugal,Misc.: Portugal,cuisine,3,722
Italy,Italy,cuisine,3,27304
Misc.: Dutch,Misc.: Dutch,cuisine,4,126
British Isles,British Isles,cuisine,4,4792
Scandinavia,Scandinavia,cuisine,4,1828
Eastern Europe,Eastern Europe,cuisine,4,2063
Spain,Spain,cuisine,3,3355
USA,USA,cuisine,4,66534
Canada,Canada,cuisine,4,4330
Misc.: Central America,Misc.: Central America,cuisine,2,66
"sunflower ","sunflower ",ingredient,0,1377
"soy sauce ","soy sauce ",ingredient,1,1721
"capsicum ","capsicum ",ingredient,0,57
"cumin ","cumin ",ingredient,0,2960
"fenugreek ","fenugreek ",ingredient,0,247
"nigella seed ","nigella seed ",ingredient,0,55
"potato ","potato ",ingredient,4,2485
"mustard oil ","mustard oil ",ingredient,0,412
"sesame ","sesame ",ingredient,1,1238
"cayenne ","cayenne ",ingredient,0,2745
"turmeric ","turmeric ",ingredient,0,1355
"asafoetida ","asafoetida ",ingredient,0,482
"clove ","clove ",ingredient,0,1048
"cardamom ","cardamom ",ingredient,0,765
"cinnamon ","cinnamon ",ingredient,4,2639
"coriander ","coriander ",ingredient,0,1207
"cashew ","cashew ",ingredient,0,217
"raisin ","raisin ",ingredient,4,811
"tomato ","tomato ",ingredient,3,5564
"corn grit ","corn grit ",ingredient,0,116
"lemon ","lemon ",ingredient,3,3035
"curry leaf ","curry leaf ",ingredient,0,390
"mint ","mint ",ingredient,0,1125
"chickpea ","chickpea ",ingredient,0,656
"fennel ","fennel ",ingredient,3,696
"anise ","anise ",ingredient,3,133
"mango ","mango ",ingredient,0,596
"coriander cumin seed powder ","coriander cumin seed powder ",ingredient,0,72
"pea pigeon ","pea pigeon ",ingredient,0,83
"bay laurel ","bay laurel ",ingredient,0,104
"pomegranate ","pomegranate ",ingredient,0,163
"okra ","okra ",ingredient,0,168
"cream ","cream ",ingredient,4,4424
"garam masala ","garam masala ",ingredient,0,548
"basmati ","basmati ",ingredient,0,213
"ghee ","ghee ",ingredient,0,484
"caraway ","caraway ",ingredient,4,190
cheese,cheese,ingredient,3,6817
"bean mung ","bean mung ",ingredient,0,165
"bean ","bean ",ingredient,2,1516
"rice ","rice ",ingredient,1,1575
"ginger ","ginger ",ingredient,0,2644
"carom seed ","carom seed ",ingredient,0,99
"mushroom ","mushroom ",ingredient,4,1493
"milk ","milk ",ingredient,4,3453
"poppy seed ","poppy seed ",ingredient,0,143
"melon ","melon ",ingredient,1,54
"wheat ","wheat ",ingredient,0,596
"almond ","almond ",ingredient,4,1204
"nutmeg ","nutmeg ",ingredient,4,1158
"saffron ","saffron ",ingredient,0,424
"tamarind ","tamarind ",ingredient,0,219
"radish ","radish ",ingredient,2,174
"pea ","pea ",ingredient,0,763
"beet ","beet ",ingredient,4,185
"coconut ","coconut ",ingredient,0,694
"chaat masala ","chaat masala ",ingredient,0,77
"cauliflower ","cauliflower ",ingredient,0,220
"pumpkin ","pumpkin ",ingredient,4,255
"vinegar ","vinegar ",ingredient,4,3387
"bread ","bread ",ingredient,3,1852
"pistachio ","pistachio ",ingredient,0,198
"rose ","rose ",ingredient,0,56
"apple ","apple ",ingredient,4,821
"mustard ","mustard ",ingredient,4,2030
"lettuce ","lettuce ",ingredient,2,832
"colocasia ","colocasia ",ingredient,0,10
"asparagu ","asparagu ",ingredient,4,326
"cucumber ","cucumber ",ingredient,1,853
"avocado ","avocado ",ingredient,2,686
"bean french ","bean french ",ingredient,0,27
"corn ","corn ",ingredient,2,898
"honey ","honey ",ingredient,4,1336
"paneer ","paneer ",ingredient,0,27
"curry powder ","curry powder ",ingredient,0,500
"peanut ","peanut ",ingredient,1,393
"yam ","yam ",ingredient,0,42
"carrot ","carrot ",ingredient,4,2321
"banana ","banana ",ingredient,4,442
"coconut oil ","coconut oil ",ingredient,0,80
"basil ","basil ",ingredient,3,2099
"pineapple ","pineapple ",ingredient,4,592
"rasam powder ","rasam powder ",ingredient,0,12
"soybean oil ","soybean oil ",ingredient,0,11
"yeast ","yeast ",ingredient,4,673
"shallot ","shallot ",ingredient,4,1517
"sambar powder ","sambar powder ",ingredient,0,22
"bitter gourd ","bitter gourd ",ingredient,0,10
"chole masala ","chole masala ",ingredient,0,11
"rice brown ","rice brown ",ingredient,2,105
"buckwheat ","buckwheat ",ingredient,1,35
"spinach ","spinach ",ingredient,3,876
"cabbage ","cabbage ",ingredient,1,705
"parsley ","parsley ",ingredient,3,3880
"soybean ","soybean ",ingredient,0,70
"oregano ","oregano ",ingredient,3,1765
"date ","date ",ingredient,4,116
"chicken ","chicken ",ingredient,4,5094
"cherry ","cherry ",ingredient,4,369
"strawberry ","strawberry ",ingredient,4,462
"wine white ","wine white ",ingredient,3,1465
"orange ","orange ",ingredient,4,1820
"vanilla ","vanilla ",ingredient,4,2744
"cocoa ","cocoa ",ingredient,4,75
"syrup ","syrup ",ingredient,4,791
"kiwi ","kiwi ",ingredient,4,53
"tea ","tea ",ingredient,4,58
"bean cluster ","bean cluster ",ingredient,0,5
"bottle gourd ","bottle gourd ",ingredient,0,14
